freq,nrg_bal,unit,geo,time,value
Annual,Renewable energy - overall,Percentage,Denmark,2004-01-01,14.839
Annual,Renewable energy - overall,Percentage,Denmark,2005-01-01,15.955
Annual,Renewable energy - overall,Percentage,Denmark,2006-01-01,16.332
Annual,Renewable energy - overall,Percentage,Denmark,2007-01-01,17.747
Annual,Renewable energy - overall,Percentage,Denmark,2008-01-01,18.543
Annual,Renewable energy - overall,Percentage,Denmark,2009-01-01,19.948
Annual,Renewable energy - overall,Percentage,Denmark,2010-01-01,21.888
Annual,Renewable energy - overall,Percentage,Denmark,2011-01-01,23.389
Annual,Renewable energy - overall,Percentage,Denmark,2012-01-01,25.465
Annual,Renewable energy - overall,Percentage,Denmark,2013-01-01,27.173
Annual,Renewable energy - overall,Percentage,Denmark,2014-01-01,29.31
Annual,Renewable energy - overall,Percentage,Denmark,2015-01-01,30.469
Annual,Renewable energy - overall,Percentage,Denmark,2016-01-01,31.715
Annual,Renewable energy - overall,Percentage,Denmark,2017-01-01,34.387
Annual,Renewable energy - overall,Percentage,Denmark,2018-01-01,35.159
Annual,Renewable energy - overall,Percentage,Denmark,2019-01-01,37.02
Annual,Renewable energy - overall,Percentage,Denmark,2020-01-01,31.681
Annual,Renewable energy - overall,Percentage,Denmark,2021-01-01,41.494
Annual,Renewable energy - overall,Percentage,Denmark,2022-01-01,41.368
Annual,Renewable energy - overall,Percentage,Denmark,2023-01-01,43.728
Annual,Renewable energy - overall,Percentage,Denmark,2024-01-01,46.461
Annual,Renewable energy - overall,Percentage,Germany,2004-01-01,6.207
Annual,Renewable energy - overall,Percentage,Germany,2005-01-01,7.167
Annual,Renewable energy - overall,Percentage,Germany,2006-01-01,8.466
Annual,Renewable energy - overall,Percentage,Germany,2007-01-01,10.039
Annual,Renewable energy - overall,Percentage,Germany,2008-01-01,10.072
Annual,Renewable energy - overall,Percentage,Germany,2009-01-01,10.851
Annual,Renewable energy - overall,Percentage,Germany,2010-01-01,11.667
Annual,Renewable energy - overall,Percentage,Germany,2011-01-01,12.47
Annual,Renewable energy - overall,Percentage,Germany,2012-01-01,13.549
Annual,Renewable energy - overall,Percentage,Germany,2013-01-01,13.757
Annual,Renewable energy - overall,Percentage,Germany,2014-01-01,14.381
Annual,Renewable energy - overall,Percentage,Germany,2015-01-01,14.901
Annual,Renewable energy - overall,Percentage,Germany,2016-01-01,14.885
Annual,Renewable energy - overall,Percentage,Germany,2017-01-01,15.472
Annual,Renewable energy - overall,Percentage,Germany,2018-01-01,16.66
Annual,Renewable energy - overall,Percentage,Germany,2019-01-01,17.266
Annual,Renewable energy - overall,Percentage,Germany,2020-01-01,19.09
Annual,Renewable energy - overall,Percentage,Germany,2021-01-01,19.302
Annual,Renewable energy - overall,Percentage,Germany,2022-01-01,20.829
Annual,Renewable energy - overall,Percentage,Germany,2023-01-01,21.512
Annual,Renewable energy - overall,Percentage,Germany,2024-01-01,22.474
Annual,Renewable energy - overall,Percentage,Estonia,2004-01-01,18.42
Annual,Renewable energy - overall,Percentage,Estonia,2005-01-01,17.478
Annual,Renewable energy - overall,Percentage,Estonia,2006-01-01,16.011
Annual,Renewable energy - overall,Percentage,Estonia,2007-01-01,17.139
Annual,Renewable energy - overall,Percentage,Estonia,2008-01-01,18.811
Annual,Renewable energy - overall,Percentage,Estonia,2009-01-01,23.009
Annual,Renewable energy - overall,Percentage,Estonia,2010-01-01,24.575
Annual,Renewable energy - overall,Percentage,Estonia,2011-01-01,25.515
Annual,Renewable energy - overall,Percentage,Estonia,2012-01-01,25.586
Annual,Renewable energy - overall,Percentage,Estonia,2013-01-01,25.356
Annual,Renewable energy - overall,Percentage,Estonia,2014-01-01,26.13
Annual,Renewable energy - overall,Percentage,Estonia,2015-01-01,28.987
Annual,Renewable energy - overall,Percentage,Estonia,2016-01-01,29.232
Annual,Renewable energy - overall,Percentage,Estonia,2017-01-01,29.538
Annual,Renewable energy - overall,Percentage,Estonia,2018-01-01,29.97
Annual,Renewable energy - overall,Percentage,Estonia,2019-01-01,31.73
Annual,Renewable energy - overall,Percentage,Estonia,2020-01-01,30.069
Annual,Renewable energy - overall,Percentage,Estonia,2021-01-01,37.342
Annual,Renewable energy - overall,Percentage,Estonia,2022-01-01,38.542
Annual,Renewable energy - overall,Percentage,Estonia,2023-01-01,40.95
Annual,Renewable energy - overall,Percentage,Estonia,2024-01-01,42.232
Annual,Renewable energy - overall,Percentage,Ireland,2004-01-01,2.378
Annual,Renewable energy - overall,Percentage,Ireland,2005-01-01,2.822
Annual,Renewable energy - overall,Percentage,Ireland,2006-01-01,3.073
Annual,Renewable energy - overall,Percentage,Ireland,2007-01-01,3.497
Annual,Renewable energy - overall,Percentage,Ireland,2008-01-01,3.979
Annual,Renewable energy - overall,Percentage,Ireland,2009-01-01,5.243
Annual,Renewable energy - overall,Percentage,Ireland,2010-01-01,5.755
Annual,Renewable energy - overall,Percentage,Ireland,2011-01-01,6.605
Annual,Renewable energy - overall,Percentage,Ireland,2012-01-01,7.029
Annual,Renewable energy - overall,Percentage,Ireland,2013-01-01,7.521
Annual,Renewable energy - overall,Percentage,Ireland,2014-01-01,8.516
Annual,Renewable energy - overall,Percentage,Ireland,2015-01-01,9.083
Annual,Renewable energy - overall,Percentage,Ireland,2016-01-01,9.189
Annual,Renewable energy - overall,Percentage,Ireland,2017-01-01,10.52
Annual,Renewable energy - overall,Percentage,Ireland,2018-01-01,10.942
Annual,Renewable energy - overall,Percentage,Ireland,2019-01-01,11.979
Annual,Renewable energy - overall,Percentage,Ireland,2020-01-01,16.16
Annual,Renewable energy - overall,Percentage,Ireland,2021-01-01,12.945
Annual,Renewable energy - overall,Percentage,Ireland,2022-01-01,13.017
Annual,Renewable energy - overall,Percentage,Ireland,2023-01-01,15.243
Annual,Renewable energy - overall,Percentage,Ireland,2024-01-01,16.064
Annual,Renewable energy - overall,Percentage,Greece,2004-01-01,7.161
Annual,Renewable energy - overall,Percentage,Greece,2005-01-01,7.277
Annual,Renewable energy - overall,Percentage,Greece,2006-01-01,7.458
Annual,Renewable energy - overall,Percentage,Greece,2007-01-01,8.249
Annual,Renewable energy - overall,Percentage,Greece,2008-01-01,8.183
Annual,Renewable energy - overall,Percentage,Greece,2009-01-01,8.731
Annual,Renewable energy - overall,Percentage,Greece,2010-01-01,10.077
Annual,Renewable energy - overall,Percentage,Greece,2011-01-01,11.153
Annual,Renewable energy - overall,Percentage,Greece,2012-01-01,13.741
Annual,Renewable energy - overall,Percentage,Greece,2013-01-01,15.326
Annual,Renewable energy - overall,Percentage,Greece,2014-01-01,15.683
Annual,Renewable energy - overall,Percentage,Greece,2015-01-01,15.69
Annual,Renewable energy - overall,Percentage,Greece,2016-01-01,15.39
Annual,Renewable energy - overall,Percentage,Greece,2017-01-01,17.3
Annual,Renewable energy - overall,Percentage,Greece,2018-01-01,18.001
Annual,Renewable energy - overall,Percentage,Greece,2019-01-01,19.633
Annual,Renewable energy - overall,Percentage,Greece,2020-01-01,21.749
Annual,Renewable energy - overall,Percentage,Greece,2021-01-01,22.001
Annual,Renewable energy - overall,Percentage,Greece,2022-01-01,22.671
Annual,Renewable energy - overall,Percentage,Greece,2023-01-01,25.269
Annual,Renewable energy - overall,Percentage,Greece,2024-01-01,25.364
Annual,Renewable energy - overall,Percentage,Spain,2004-01-01,8.345
Annual,Renewable energy - overall,Percentage,Spain,2005-01-01,8.444
Annual,Renewable energy - overall,Percentage,Spain,2006-01-01,9.156
Annual,Renewable energy - overall,Percentage,Spain,2007-01-01,9.667
Annual,Renewable energy - overall,Percentage,Spain,2008-01-01,10.744
Annual,Renewable energy - overall,Percentage,Spain,2009-01-01,12.958
Annual,Renewable energy - overall,Percentage,Spain,2010-01-01,13.782
Annual,Renewable energy - overall,Percentage,Spain,2011-01-01,13.176
Annual,Renewable energy - overall,Percentage,Spain,2012-01-01,14.239
Annual,Renewable energy - overall,Percentage,Spain,2013-01-01,15.081
Annual,Renewable energy - overall,Percentage,Spain,2014-01-01,15.879
Annual,Renewable energy - overall,Percentage,Spain,2015-01-01,16.221
Annual,Renewable energy - overall,Percentage,Spain,2016-01-01,17.015
Annual,Renewable energy - overall,Percentage,Spain,2017-01-01,17.118
Annual,Renewable energy - overall,Percentage,Spain,2018-01-01,17.023
Annual,Renewable energy - overall,Percentage,Spain,2019-01-01,17.852
Annual,Renewable energy - overall,Percentage,Spain,2020-01-01,21.22
Annual,Renewable energy - overall,Percentage,Spain,2021-01-01,20.552
Annual,Renewable energy - overall,Percentage,Spain,2022-01-01,21.837
Annual,Renewable energy - overall,Percentage,Spain,2023-01-01,24.981
Annual,Renewable energy - overall,Percentage,Spain,2024-01-01,25.417
Annual,Renewable energy - overall,Percentage,France,2004-01-01,9.319
Annual,Renewable energy - overall,Percentage,France,2005-01-01,9.272
Annual,Renewable energy - overall,Percentage,France,2006-01-01,8.936
Annual,Renewable energy - overall,Percentage,France,2007-01-01,9.426
Annual,Renewable energy - overall,Percentage,France,2008-01-01,11.188
Annual,Renewable energy - overall,Percentage,France,2009-01-01,12.215
Annual,Renewable energy - overall,Percentage,France,2010-01-01,12.671
Annual,Renewable energy - overall,Percentage,France,2011-01-01,10.813
Annual,Renewable energy - overall,Percentage,France,2012-01-01,13.239
Annual,Renewable energy - overall,Percentage,France,2013-01-01,13.88
Annual,Renewable energy - overall,Percentage,France,2014-01-01,14.362
Annual,Renewable energy - overall,Percentage,France,2015-01-01,14.803
Annual,Renewable energy - overall,Percentage,France,2016-01-01,15.451
Annual,Renewable energy - overall,Percentage,France,2017-01-01,15.847
Annual,Renewable energy - overall,Percentage,France,2018-01-01,16.384
Annual,Renewable energy - overall,Percentage,France,2019-01-01,17.174
Annual,Renewable energy - overall,Percentage,France,2020-01-01,19.109
Annual,Renewable energy - overall,Percentage,France,2021-01-01,19.391
Annual,Renewable energy - overall,Percentage,France,2022-01-01,20.33
Annual,Renewable energy - overall,Percentage,France,2023-01-01,22.462
Annual,Renewable energy - overall,Percentage,France,2024-01-01,23.229
Annual,Renewable energy - overall,Percentage,Croatia,2004-01-01,23.404
Annual,Renewable energy - overall,Percentage,Croatia,2005-01-01,23.691
Annual,Renewable energy - overall,Percentage,Croatia,2006-01-01,22.668
Annual,Renewable energy - overall,Percentage,Croatia,2007-01-01,22.161
Annual,Renewable energy - overall,Percentage,Croatia,2008-01-01,21.986
Annual,Renewable energy - overall,Percentage,Croatia,2009-01-01,23.596
Annual,Renewable energy - overall,Percentage,Croatia,2010-01-01,25.103
Annual,Renewable energy - overall,Percentage,Croatia,2011-01-01,25.389
Annual,Renewable energy - overall,Percentage,Croatia,2012-01-01,26.757
Annual,Renewable energy - overall,Percentage,Croatia,2013-01-01,28.04
Annual,Renewable energy - overall,Percentage,Croatia,2014-01-01,27.817
Annual,Renewable energy - overall,Percentage,Croatia,2015-01-01,28.969
Annual,Renewable energy - overall,Percentage,Croatia,2016-01-01,28.266
Annual,Renewable energy - overall,Percentage,Croatia,2017-01-01,27.28
Annual,Renewable energy - overall,Percentage,Croatia,2018-01-01,28.047
Annual,Renewable energy - overall,Percentage,Croatia,2019-01-01,28.466
Annual,Renewable energy - overall,Percentage,Croatia,2020-01-01,31.023
Annual,Renewable energy - overall,Percentage,Croatia,2021-01-01,31.285
Annual,Renewable energy - overall,Percentage,Croatia,2022-01-01,28.088
Annual,Renewable energy - overall,Percentage,Croatia,2023-01-01,28.088
Annual,Renewable energy - overall,Percentage,Croatia,2024-01-01,26.477
Annual,Renewable energy - overall,Percentage,Italy,2004-01-01,6.316
Annual,Renewable energy - overall,Percentage,Italy,2005-01-01,7.549
Annual,Renewable energy - overall,Percentage,Italy,2006-01-01,8.328
Annual,Renewable energy - overall,Percentage,Italy,2007-01-01,9.807
Annual,Renewable energy - overall,Percentage,Italy,2008-01-01,11.492
Annual,Renewable energy - overall,Percentage,Italy,2009-01-01,12.775
Annual,Renewable energy - overall,Percentage,Italy,2010-01-01,13.023
Annual,Renewable energy - overall,Percentage,Italy,2011-01-01,12.881
Annual,Renewable energy - overall,Percentage,Italy,2012-01-01,15.441
Annual,Renewable energy - overall,Percentage,Italy,2013-01-01,16.741
Annual,Renewable energy - overall,Percentage,Italy,2014-01-01,17.082
Annual,Renewable energy - overall,Percentage,Italy,2015-01-01,17.525
Annual,Renewable energy - overall,Percentage,Italy,2016-01-01,17.415
Annual,Renewable energy - overall,Percentage,Italy,2017-01-01,18.267
Annual,Renewable energy - overall,Percentage,Italy,2018-01-01,17.796
Annual,Renewable energy - overall,Percentage,Italy,2019-01-01,18.181
Annual,Renewable energy - overall,Percentage,Italy,2020-01-01,20.359
Annual,Renewable energy - overall,Percentage,Italy,2021-01-01,18.888
Annual,Renewable energy - overall,Percentage,Italy,2022-01-01,18.826
Annual,Renewable energy - overall,Percentage,Italy,2023-01-01,19.179
Annual,Renewable energy - overall,Percentage,Italy,2024-01-01,19.385
Annual,Renewable energy - overall,Percentage,Cyprus,2004-01-01,3.071
Annual,Renewable energy - overall,Percentage,Cyprus,2005-01-01,3.131
Annual,Renewable energy - overall,Percentage,Cyprus,2006-01-01,3.263
Annual,Renewable energy - overall,Percentage,Cyprus,2007-01-01,4.001
Annual,Renewable energy - overall,Percentage,Cyprus,2008-01-01,5.131
Annual,Renewable energy - overall,Percentage,Cyprus,2009-01-01,5.92
Annual,Renewable energy - overall,Percentage,Cyprus,2010-01-01,6.161
Annual,Renewable energy - overall,Percentage,Cyprus,2011-01-01,6.245
Annual,Renewable energy - overall,Percentage,Cyprus,2012-01-01,7.111
Annual,Renewable energy - overall,Percentage,Cyprus,2013-01-01,8.428
Annual,Renewable energy - overall,Percentage,Cyprus,2014-01-01,9.144
Annual,Renewable energy - overall,Percentage,Cyprus,2015-01-01,9.903
Annual,Renewable energy - overall,Percentage,Cyprus,2016-01-01,9.833
Annual,Renewable energy - overall,Percentage,Cyprus,2017-01-01,10.478
Annual,Renewable energy - overall,Percentage,Cyprus,2018-01-01,13.873
Annual,Renewable energy - overall,Percentage,Cyprus,2019-01-01,13.777
Annual,Renewable energy - overall,Percentage,Cyprus,2020-01-01,16.879
Annual,Renewable energy - overall,Percentage,Cyprus,2021-01-01,19.069
Annual,Renewable energy - overall,Percentage,Cyprus,2022-01-01,19.427
Annual,Renewable energy - overall,Percentage,Cyprus,2023-01-01,20.213
Annual,Renewable energy - overall,Percentage,Cyprus,2024-01-01,20.844
Annual,Renewable energy - overall,Percentage,Latvia,2004-01-01,32.794
Annual,Renewable energy - overall,Percentage,Latvia,2005-01-01,32.264
Annual,Renewable energy - overall,Percentage,Latvia,2006-01-01,31.141
Annual,Renewable energy - overall,Percentage,Latvia,2007-01-01,29.615
Annual,Renewable energy - overall,Percentage,Latvia,2008-01-01,29.811
Annual,Renewable energy - overall,Percentage,Latvia,2009-01-01,34.317
Annual,Renewable energy - overall,Percentage,Latvia,2010-01-01,30.375
Annual,Renewable energy - overall,Percentage,Latvia,2011-01-01,33.478
Annual,Renewable energy - overall,Percentage,Latvia,2012-01-01,35.709
Annual,Renewable energy - overall,Percentage,Latvia,2013-01-01,37.037
Annual,Renewable energy - overall,Percentage,Latvia,2014-01-01,38.629
Annual,Renewable energy - overall,Percentage,Latvia,2015-01-01,37.538
Annual,Renewable energy - overall,Percentage,Latvia,2016-01-01,37.138
Annual,Renewable energy - overall,Percentage,Latvia,2017-01-01,39.008
Annual,Renewable energy - overall,Percentage,Latvia,2018-01-01,40.019
Annual,Renewable energy - overall,Percentage,Latvia,2019-01-01,40.929
Annual,Renewable energy - overall,Percentage,Latvia,2020-01-01,42.132
Annual,Renewable energy - overall,Percentage,Latvia,2021-01-01,42.112
Annual,Renewable energy - overall,Percentage,Latvia,2022-01-01,43.786
Annual,Renewable energy - overall,Percentage,Latvia,2023-01-01,43.25
Annual,Renewable energy - overall,Percentage,Latvia,2024-01-01,45.535
Annual,Renewable energy - overall,Percentage,Lithuania,2004-01-01,17.221
Annual,Renewable energy - overall,Percentage,Lithuania,2005-01-01,16.768
Annual,Renewable energy - overall,Percentage,Lithuania,2006-01-01,16.887
Annual,Renewable energy - overall,Percentage,Lithuania,2007-01-01,16.482
Annual,Renewable energy - overall,Percentage,Lithuania,2008-01-01,17.824
Annual,Renewable energy - overall,Percentage,Lithuania,2009-01-01,19.798
Annual,Renewable energy - overall,Percentage,Lithuania,2010-01-01,19.639
Annual,Renewable energy - overall,Percentage,Lithuania,2011-01-01,19.943
Annual,Renewable energy - overall,Percentage,Lithuania,2012-01-01,21.437
Annual,Renewable energy - overall,Percentage,Lithuania,2013-01-01,22.689
Annual,Renewable energy - overall,Percentage,Lithuania,2014-01-01,23.592
Annual,Renewable energy - overall,Percentage,Lithuania,2015-01-01,25.748
Annual,Renewable energy - overall,Percentage,Lithuania,2016-01-01,25.612
Annual,Renewable energy - overall,Percentage,Lithuania,2017-01-01,26.038
Annual,Renewable energy - overall,Percentage,Lithuania,2018-01-01,24.695
Annual,Renewable energy - overall,Percentage,Lithuania,2019-01-01,25.474
Annual,Renewable energy - overall,Percentage,Lithuania,2020-01-01,26.773
Annual,Renewable energy - overall,Percentage,Lithuania,2021-01-01,28.167
Annual,Renewable energy - overall,Percentage,Lithuania,2022-01-01,29.599
Annual,Renewable energy - overall,Percentage,Lithuania,2023-01-01,31.927
Annual,Renewable energy - overall,Percentage,Lithuania,2024-01-01,35.408
Annual,Renewable energy - overall,Percentage,Luxembourg,2004-01-01,0.899
Annual,Renewable energy - overall,Percentage,Luxembourg,2005-01-01,1.402
Annual,Renewable energy - overall,Percentage,Luxembourg,2006-01-01,1.469
Annual,Renewable energy - overall,Percentage,Luxembourg,2007-01-01,2.725
Annual,Renewable energy - overall,Percentage,Luxembourg,2008-01-01,2.809
Annual,Renewable energy - overall,Percentage,Luxembourg,2009-01-01,2.929
Annual,Renewable energy - overall,Percentage,Luxembourg,2010-01-01,2.851
Annual,Renewable energy - overall,Percentage,Luxembourg,2011-01-01,2.855
Annual,Renewable energy - overall,Percentage,Luxembourg,2012-01-01,3.112
Annual,Renewable energy - overall,Percentage,Luxembourg,2013-01-01,3.494
Annual,Renewable energy - overall,Percentage,Luxembourg,2014-01-01,4.471
Annual,Renewable energy - overall,Percentage,Luxembourg,2015-01-01,4.987
Annual,Renewable energy - overall,Percentage,Luxembourg,2016-01-01,5.364
Annual,Renewable energy - overall,Percentage,Luxembourg,2017-01-01,6.194
Annual,Renewable energy - overall,Percentage,Luxembourg,2018-01-01,8.942
Annual,Renewable energy - overall,Percentage,Luxembourg,2019-01-01,7.046
Annual,Renewable energy - overall,Percentage,Luxembourg,2020-01-01,11.699
Annual,Renewable energy - overall,Percentage,Luxembourg,2021-01-01,11.713
Annual,Renewable energy - overall,Percentage,Luxembourg,2022-01-01,14.286
Annual,Renewable energy - overall,Percentage,Luxembourg,2023-01-01,14.312
Annual,Renewable energy - overall,Percentage,Luxembourg,2024-01-01,14.742
Annual,Renewable energy - overall,Percentage,Hungary,2004-01-01,4.364
Annual,Renewable energy - overall,Percentage,Hungary,2005-01-01,6.931
Annual,Renewable energy - overall,Percentage,Hungary,2006-01-01,7.433
Annual,Renewable energy - overall,Percentage,Hungary,2007-01-01,8.575
Annual,Renewable energy - overall,Percentage,Hungary,2008-01-01,8.564
Annual,Renewable energy - overall,Percentage,Hungary,2009-01-01,11.673
Annual,Renewable energy - overall,Percentage,Hungary,2010-01-01,12.742
Annual,Renewable energy - overall,Percentage,Hungary,2011-01-01,13.972
Annual,Renewable energy - overall,Percentage,Hungary,2012-01-01,15.53
Annual,Renewable energy - overall,Percentage,Hungary,2013-01-01,16.205
Annual,Renewable energy - overall,Percentage,Hungary,2014-01-01,14.618
Annual,Renewable energy - overall,Percentage,Hungary,2015-01-01,14.495
Annual,Renewable energy - overall,Percentage,Hungary,2016-01-01,14.377
Annual,Renewable energy - overall,Percentage,Hungary,2017-01-01,13.556
Annual,Renewable energy - overall,Percentage,Hungary,2018-01-01,12.548
Annual,Renewable energy - overall,Percentage,Hungary,2019-01-01,12.634
Annual,Renewable energy - overall,Percentage,Hungary,2020-01-01,13.85
Annual,Renewable energy - overall,Percentage,Hungary,2021-01-01,14.134
Annual,Renewable energy - overall,Percentage,Hungary,2022-01-01,15.128
Annual,Renewable energy - overall,Percentage,Hungary,2023-01-01,17.117
Annual,Renewable energy - overall,Percentage,Hungary,2024-01-01,18.264
Annual,Renewable energy - overall,Percentage,Malta,2004-01-01,0.102
Annual,Renewable energy - overall,Percentage,Malta,2005-01-01,0.123
Annual,Renewable energy - overall,Percentage,Malta,2006-01-01,0.149
Annual,Renewable energy - overall,Percentage,Malta,2007-01-01,0.177
